Merek,Model,Varian,Tahun,Transmisi,jarak_tempuh_max
Mitsubishi,L300,Pick Up,2014,Manual,50000.0
Nissan,Serena,HWS,2004,Automatic,185000.0
BMW,Serie 3,325i,2004,Automatic Triptonic,95000.0
Mazda,2,Lain-lain,2014,Manual,55000.0
Mazda,323,1.3,1991,Manual,150000.0
Nissan,Lain-lain,Lain-lain,1997,Manual,90000.0
Toyota,Avanza,G,2010,Automatic,105000.0
Hyundai,Getz,Lain-lain,2008,Automatic,95000.0
Mazda,Familia,Lain-lain,1997,Manual,105000.0
Toyota,Rush,S TRD Sportivo Luxury,2018,Automatic,20000.0
Mitsubishi,Xpander,SPORT A/T,2018,Automatic,20000.0
Chevrolet,Captiva,Lain-lain,2008,Manual,170000.0
Isuzu,Grand touring,Lain-lain,2001,Manual,15000.0
Toyota,Avanza,Veloz,2018,Manual,15000.0
Mitsubishi,Xpander,ULTIMATE A/T,2018,Automatic,30000.0
Honda,Accord,1.6,1985,Manual,40000.0
Suzuki,Ertiga,GL,2017,Manual,40000.0
Honda,Jazz,i-DSI,2007,Automatic Triptonic,160000.0
Hino,Dutro,Lain-lain,2011,Manual,205000.0
Mitsubishi,Pajero Sport,Exceed,2011,Automatic Triptonic,105000.0
Hyundai,Matrix,Lain-lain,2003,Manual,155000.0
Suzuki,Ignis,GX AT ,2019,Automatic Triptonic,5000.0
Land Rover,Range rover,Lain-lain,2011,Automatic Triptonic,45000.0
Honda,City,i-DSI,2003,Automatic,200000.0
Mazda,CX-5,Touring,2013,Automatic,100000.0
Mercedes-Benz,C-Class,C240,2004,Automatic,75000.0
KIA,Visto,,2002,Automatic,15000.0
Mercedes-Benz,A-Class,A140,2001,Manual,20000.0
Datsun,Go,Panca T Active,2016,Manual,50000.0
BMW,X1,sDrive20d,2010,Automatic,55000.0
KIA,Picanto,SE,2010,Automatic,70000.0
Toyota,Lain-lain,Lain-lain,2010,Manual,145000.0
Mitsubishi,Pajero Sport,Dakar 2.4,2013,Automatic,85000.0
Isuzu,Colt 77 PS,Lain-lain,1997,Manual,155000.0
Datsun,Go+,Panca T Opt,2016,Manual,45000.0
Mitsubishi,Pajero Sport,Dakar 2.4,2019,Automatic,5000.0
Mini Cooper,Mini Cooper,,2018,Automatic,10000.0
Suzuki,Ertiga,GL,2013,Manual,125000.0
Ford,Fiesta,Trend,2013,Manual,90000.0
Toyota,RAV4,LWB,2003,Automatic,115000.0
BMW,Serie 3,320i,2010,Automatic,45000.0
Honda,CR-V,2.4 Prestige,2016,Automatic,45000.0
Toyota,Rush,TRD Sportivo,2014,Manual,75000.0
Isuzu,Elf Minibus,Lain-lain,2015,Manual,105000.0
Audi,Audi TT,Coupe,2000,Manual,45000.0
Daihatsu,Ayla,X,2014,Manual,85000.0
Ford,Ranger,Lain-lain,2012,Manual,45000.0
Chevrolet,Aveo,LS,2008,Manual,70000.0
Nissan,Grand livina,Lain-lain,2010,Manual,95000.0
Isuzu,Panther,LS Hi Grade,2002,Automatic,200000.0
BMW,Serie 5,528i F10 Facelift 2.0,2012,Automatic Triptonic,60000.0
Nissan,Grand livina,Lain-lain,2014,Manual,70000.0
Mazda,CX-5,Grand Touring,2018,Automatic Triptonic,35000.0
Lain-lain,Lain-lain,,1987,Manual,55000.0
Chevrolet,Spin,LTZ,2013,Manual,100000.0
Jeep,Compass,,2012,Automatic,35000.0
Nissan,March,1.2,2013,Manual,45000.0
Isuzu,Panther,2.3,1992,Manual,
Hyundai,i10,GLS,2009,Manual,40000.0
Nissan,Grand livina,Lain-lain,2012,Manual,85000.0
Suzuki,Ertiga,Dreza GS,2016,Manual,75000.0
Mazda,CX-5,Grand Touring,2013,Automatic,55000.0
Mercedes-Benz,C-Class,C180,2001,Automatic,115000.0
BMW,Serie 3,,2012,Automatic Triptonic,30000.0
BMW,Serie 3,330i M Sport,2016,Automatic Triptonic,35000.0
Ford,Fiesta,Trend,2011,Automatic,105000.0
Jeep,Sahara,Lain-lain,2012,Automatic Triptonic,10000.0
Mercedes-Benz,C-Class,C200,1997,Manual,235000.0
Isuzu,Panther,2.3,1995,Manual,20000.0
Toyota,Avanza,G,2014,Manual,100000.0
Datsun,Go,Lain-lain,2014,Manual,80000.0
Honda,Brio,RS 1.2,2018,Automatic,10000.0
Mazda,2,RZ,2013,Automatic,60000.0
Wuling,Cortez,1.8,2018,Automatic,15000.0
Isuzu,Panther,Touring,2004,Manual,155000.0
BMW,Serie 3,318i,1995,Manual,80000.0
Chevrolet,Captiva,Lain-lain,2015,Automatic,45000.0
Chevrolet,Spin,LTZ,2013,Automatic Triptonic,90000.0
Toyota,Kijang,LX,2004,Manual,170000.0
Toyota,Avanza,G,2015,Manual,105000.0
Ford,Ranger,XLT,2002,Manual,120000.0
Daihatsu,Terios,TX,2010,Automatic,75000.0
Nissan,Grand livina,Lain-lain,2016,Automatic,40000.0
Hyundai,Grand Avega,GX,2013,Automatic,95000.0
Lexus,RX,270,2012,Automatic,65000.0
Volvo,S70,Lain-lain,1997,Automatic,130000.0
Mercedes-Benz,E-Class,E250,2011,Automatic Triptonic,45000.0
Daihatsu,Gran max,Lain-lain,2010,Manual,205000.0
Volkswagen,Scirocco,1.4 TSI,2015,Automatic Triptonic,25000.0
Suzuki,Ertiga,GX,2014,Manual,90000.0
Chevrolet,Spin,LTZ,2014,Automatic,55000.0
Honda,CR-V,2.0,2001,Automatic,230000.0
Hyundai,Avega,GX,2010,Manual,35000.0
Land Rover,Range rover,Lain-lain,2008,Automatic Triptonic,55000.0
Ford,Escape,XLT,2004,Automatic,235000.0
Jeep,Rubicon,Lain-lain,2011,Automatic,20000.0
Honda,CR-V,2.4 i-VTEC,2014,Automatic Triptonic,65000.0
Daihatsu,Gran max,Lain-lain,2008,Manual,105000.0
Mercedes-Benz,E-Class,E280,2009,Automatic,65000.0
Land Rover,Range Rover Evoque,Dynamic Luxury Si4,2012,Automatic Triptonic,40000.0
Chevrolet,Spark,Lain-lain,2004,Manual,150000.0
Suzuki,Ertiga,GL,2019,Manual,5000.0
Timor,DOHC,1.5,2001,Manual,295000.0
Timor,S515i,1.5 DOHC,1999,Manual,40000.0
Mitsubishi,Pajero,3.2,2010,Automatic,145000.0
Suzuki,Baleno,1.5,2002,Manual,130000.0
Hyundai,Avega,GX,2012,Manual,145000.0
Datsun,Cross,Lain-lain,2018,Automatic,20000.0
Wuling,Cortez,1.8,2018,Automatic,15000.0
DFSK (Dongfeng Sokon),Super Cab,1.5L,2019,Manual,5000.0
Daihatsu,Xenia,Li Deluxe,2008,Manual,130000.0
Daihatsu,Taruna,CSX,2000,Manual,170000.0
Suzuki,Ertiga,GX,2012,Manual,105000.0
Mitsubishi,Xpander,ULTIMATE A/T,2019,Automatic,10000.0
Mercedes-Benz,E-Class,E240,2004,Automatic Triptonic,105000.0
Ford,Ecosport,Titanium,2014,Automatic,50000.0
Daihatsu,Sirion,D,2017,Automatic,30000.0
Honda,CR-Z,1.5 Hybrid,2013,Automatic Triptonic,40000.0
Mitsubishi,Xpander,ULTIMATE A/T,2018,Automatic,35000.0
Mazda,CX-5,Touring,2013,Automatic,65000.0
Honda,Jazz,S,2014,Manual,35000.0
Datsun,Go,Panca T,2015,Manual,65000.0
KIA,Carens II,Lain-lain,2004,Automatic,95000.0
Nissan,X-Trail,,2014,Automatic Triptonic,60000.0
Chevrolet,Spin,LTZ,2013,Automatic,95000.0
Isuzu,Elf Minibus,Lain-lain,2017,Manual,15000.0
Ford,Everest,10-S,2009,Manual,130000.0
Datsun,Go+,Panca T,2018,Manual,15000.0
Audi,Audi A6,2.0 TFSI,2013,Automatic,40000.0
KIA,Carnival,GS,2001,Manual,15000.0
Opel,Blazer,Lain-lain,1998,Manual,125000.0
Klasik dan Antik,Klasik dan Antik,Lain-lain,1985,Manual,100000.0
Hyundai,i10,GLS,2011,Manual,75000.0
Mercedes-Benz,E-Class,E230,1990,Manual,120000.0
Datsun,Go+,Panca A,2015,Manual,30000.0
Toyota,Rush,TRD Sportivo,2014,Manual,130000.0
Mazda,Biante,Limited Edition,2013,Automatic,55000.0
Isuzu,Panther,LS,2006,Manual,150000.0
Datsun,Go+,Panca T,2014,Manual,45000.0
Daihatsu,Terios,R,2016,Automatic,50000.0
Peugeot,307,SW,2003,Automatic Triptonic,160000.0
Ford,Everest,XLT,2007,Manual,200000.0
KIA,Picanto,1.2 NA,2005,Manual,135000.0
Isuzu,Panther,2.5,1998,Manual,130000.0
Nissan,Grand livina,Lain-lain,2011,Automatic,115000.0
Ford,Fiesta,Sport+,2012,Automatic,45000.0
Jeep,Compass,,2013,Automatic,60000.0
BMW,X5,xDrive25d,2016,Automatic Triptonic,95000.0
Mazda,2,R,2012,Automatic,60000.0
Wuling,Confero S,S 1.5C ,2017,Manual,40000.0
Honda,City,E,2012,Manual,70000.0
Mercedes-Benz,Lain-lain,Lain-lain,1997,Manual,130000.0
Isuzu,Panther,LV,2007,Manual,150000.0
Toyota,Alphard,G,2016,Automatic Triptonic,10000.0
Suzuki,Splash,GL,2011,Manual,45000.0
Nissan,March,1.2L,2011,Automatic,100000.0
Suzuki,SX4,Cross Over,2009,Automatic,120000.0
BMW,Serie 3,320i Sport,2014,Automatic Triptonic,40000.0
Toyota,Alphard,2.5 G,2010,Automatic,70000.0
Nissan,Grand livina,Lain-lain,2013,Manual,105000.0
Honda,Jazz,i-DSI,2007,Automatic,60000.0
Suzuki,Ertiga,GL,2017,Manual,90000.0
Nissan,Grand livina,Lain-lain,2016,Automatic,50000.0
Nissan,Livina,X-Gear,2014,Automatic,45000.0
BMW,Serie 3,318i 1.8,1993,Manual,175000.0
Daihatsu,Ayla,X,2016,Manual,50000.0
Nissan,Livina,X-Gear,2008,Automatic,85000.0
Mercedes-Benz,E-Class,E260,2005,Automatic Triptonic,140000.0
Mitsubishi,Outlander,Lain-lain,2014,Automatic Triptonic,60000.0
Isuzu,Panther,Touring,2002,Automatic,200000.0
Nissan,Grand livina,Lain-lain,2010,Automatic,180000.0
KIA,Picanto,SE,2012,Manual,35000.0
Chevrolet,Kalos,1.4,2012,Manual,20000.0
Daihatsu,Ayla,X,2015,Automatic,40000.0
Suzuki,Grand vitara,Lain-lain,2007,Automatic,5000.0
BMW,Serie 3,320i E90 2.0,2010,Automatic,55000.0
Honda,HR-V,1.8L Prestige,2016,Automatic Triptonic,30000.0
Mitsubishi,Xpander,ULTIMATE A/T,2018,Automatic,5000.0
Mercedes-Benz,E-Class,E320,1995,Manual,110000.0
BMW,Serie 3,320i 2.0,2013,Automatic,95000.0
Hyundai,Santa Fe,Limited Edition,2018,Automatic Triptonic,35000.0
Toyota,Fortuner,VRZ,2016,Automatic Triptonic,20000.0
Chevrolet,Spin,LTZ,2015,Manual,55000.0
Mitsubishi,Mirage,Exceed,2012,Automatic,85000.0
Toyota,Avanza,G,2016,Manual,105000.0
Nissan,Grand livina,Lain-lain,2012,Automatic,115000.0
Nissan,X-Trail,Lain-lain,2017,Automatic,45000.0
Mercedes-Benz,E-Class,E220,1995,Automatic,110000.0
Honda,CR-V,2.4 Prestige,2013,Automatic,70000.0
Datsun,Go+,Panca T Style,2014,Manual,75000.0
BMW,Serie 3,323i E46 2.5,2000,Automatic Triptonic,5000.0
Datsun,Go+,Panca A,2014,Manual,35000.0
KIA,Rio,Hatchback,2013,Automatic,55000.0
Honda,Jazz,,2014,Automatic,50000.0
Ford,Ecosport,Titanium,2014,Automatic,55000.0
BMW,Serie 6,640i,2014,Automatic,30000.0
Chevrolet,Kalos,LT,2007,Manual,75000.0
Ford,Fiesta,EcoBoost S,2014,Automatic,55000.0
Opel,Blazer,DOHC LT,2000,Manual,125000.0
Honda,CR-V,2.4 i-VTEC,2015,Automatic Triptonic,75000.0
Mercedes-Benz,ML-Class,ML400,2015,Automatic,40000.0
Opel,Montera,Lain-lain,2002,Manual,35000.0
Chevrolet,Blazer,Lain-lain,2001,Manual,45000.0
Chevrolet,Kalos,1.4,2010,Manual,230000.0
Hyundai,i10,GL,2015,Manual,100000.0
Wuling,Cortez,1.8,2018,Automatic,20000.0
Daihatsu,Gran max,Lain-lain,2015,Manual,50000.0
BMW,Lain-lain,Lain-lain,2016,Automatic Triptonic,30000.0
Chery,Lain-lain,Lain-lain,1998,Manual,290000.0
KIA,Rio,Hatchback,2012,Manual,145000.0
Toyota,Avanza,G,2015,Manual,50000.0
Toyota,Vellfire,ZG,2013,Automatic Triptonic,50000.0
Hino,Dutro,300 Series,2012,Manual,155000.0
Mini Cooper,Mini Cooper,Lain-lain,2012,Automatic,45000.0
Ford,Ranger,Base,2012,Manual,160000.0
Mercedes-Benz,CLA-Class,CLA200,2018,Automatic,20000.0
Chevrolet,Lain-lain,Lain-lain,1992,Manual,225000.0
Honda,Jazz,i-DSI,2005,Automatic,155000.0
Suzuki,Katana,GX,1995,Manual,60000.0
Chevrolet,Spin,LTZ,2015,Manual,55000.0
Toyota,Agya,TRD Sportivo,2014,Automatic,60000.0
Mitsubishi,Pajero Sport,Dakar,2014,Automatic,90000.0
Nissan,Grand livina,Lain-lain,2013,Automatic,45000.0
Mitsubishi,L300,Pick Up,2011,Manual,105000.0
Hyundai,Cakra,Lain-lain,1996,Manual,
Daihatsu,Espass,Pick Up Jumbo 1.3,2005,Manual,5000.0
Honda,BR-V,E Prestige,2016,Automatic,60000.0
Suzuki,Jimny,4 AT,1985,Manual,80000.0
Ford,laser,Lain-lain,1994,Manual,85000.0
Mercedes-Benz,C-Class,C200,2008,Automatic Triptonic,50000.0
Volkswagen,Touran,TSI,2012,Automatic,100000.0
Mitsubishi,Pajero Sport,GLX,2012,Manual,30000.0
Datsun,Go,Panca T Active,2015,Manual,40000.0
Mitsubishi,Pajero Sport,Exceed,2017,Automatic,35000.0
Land Rover,Lain-lain,Lain-lain,1985,Manual,55000.0
Ford,laser,Lain-lain,1985,Manual,95000.0
Daihatsu,Xenia,Li,2004,Manual,45000.0
Mazda,2,R,2015,Automatic Triptonic,35000.0
Datsun,Go+,Panca T,2015,Manual,35000.0
Mazda,CX-5,Grand Touring,2013,Automatic,55000.0
Mazda,2,R,2011,Manual,75000.0
Jeep,Cherokee,Lain-lain,1998,Manual,165000.0
Toyota,Land Cruiser,Prado 2.7,2007,Automatic,130000.0
Toyota,Fortuner,TRD,2012,Automatic,90000.0
BMW,X5,xDrive25d,2015,Automatic,85000.0
Toyota,Innova,V,2017,Automatic Triptonic,10000.0
Mercedes-Benz,GLE-Class,GLE400,2016,Automatic,20000.0
Peugeot,306,ST,2000,Manual,115000.0
Audi,Audi A4,1.8 TFSI PI,2013,Automatic,45000.0
Toyota,Kijang,LGX,2000,Manual,125000.0
Porsche,Cayman,2.9,2012,Automatic Triptonic,5000.0
Nissan,X-Trail,Lain-lain,2015,Automatic Triptonic,50000.0
Daihatsu,Zebra,,1990,Manual,35000.0
KIA,Picanto,SE,2012,Automatic,75000.0
Chevrolet,Spin,LTZ,2014,Automatic,95000.0
Toyota,Avanza,Veloz,2015,Automatic,55000.0
Toyota,Rush,TRD Sportivo,2014,Automatic,55000.0
Suzuki,Katana,GX,1997,Manual,55000.0
Suzuki,Ertiga,GX,2014,Manual,95000.0
Toyota,Avanza,G,2005,Manual,95000.0
Hyundai,Santa Fe,Petrol,2014,Automatic,70000.0
Mitsubishi,Lain-lain,Lain-lain,2018,Manual,15000.0
Toyota,Innova,G,2010,Automatic,195000.0
Nissan,X-Trail,Lain-lain,2008,Automatic,130000.0
Isuzu,Panther,LM,2015,Manual,50000.0
Mitsubishi,Pajero Sport,Exceed,2010,Automatic,155000.0
Hino,FL235 JN,Lain-lain,2013,Manual,70000.0
Mazda,Lain-lain,Lain-lain,2010,Automatic Triptonic,70000.0
Mazda,2,R,2014,Automatic,75000.0
BMW,Serie 5,528i,2012,Automatic Triptonic,55000.0
Mercedes-Benz,E-Class,E240,2004,Automatic,90000.0
Toyota,Agya,TRD Sportivo,2018,Automatic,10000.0
Chevrolet,Cruze,Lain-lain,2011,Automatic,50000.0
Chevrolet,Spin,LTZ,2013,Automatic,90000.0
Mercedes-Benz,C-Class,C180,2001,Automatic,115000.0
BMW,Serie 3,328i Luxury,2013,Automatic Triptonic,80000.0
Suzuki,Karimun,DX,2002,Manual,230000.0
Daihatsu,Ayla,X,2016,Manual,50000.0
Land Rover,Range Rover Evoque,Dynamic Luxury Si4,2013,Automatic,55000.0
Toyota,Avanza,E,2018,Manual,10000.0
Mazda,2,R,2016,Automatic Triptonic,55000.0
BMW,Serie 5,523i E60 2.5 L6,2009,Automatic Triptonic,80000.0
Suzuki,Ertiga,GX Elegant,2014,Manual,55000.0
Suzuki,Grand vitara,Lain-lain,2014,Automatic,45000.0
Nissan,X-Trail,Lain-lain,2005,Automatic,120000.0
Mazda,2,R,2015,Automatic,45000.0
Mercedes-Benz,S-Class,S350 L,2006,Automatic Triptonic,35000.0
Isuzu,Panther,LM,2014,Manual,65000.0
Ford,Escape,XLT,2004,Automatic,140000.0
KIA,Picanto,SE,2010,Manual,65000.0
Mercedes-Benz,C-Class,C200,2002,Automatic Triptonic,160000.0
Chevrolet,Spin,LTZ,2013,Automatic,95000.0
Toyota,Camry,"2,5 V",2015,Automatic Triptonic,85000.0
Toyota,Fortuner,2.4,2015,Automatic,100000.0
Mitsubishi,Pajero Sport,2.5L Dakar,2017,Automatic Triptonic,15000.0
Mitsubishi,Galant,2.0,2002,Manual,130000.0
BMW,Serie 3,320i Business Edition,1994,Manual,170000.0
BMW,Serie 3,318i E36 1.8,1996,Manual,210000.0
Datsun,Go+,Panca T,2015,Manual,25000.0
KIA,Picanto,M/T,2005,Manual,140000.0
Volkswagen,Golf,TSI,2012,Automatic,45000.0
Chevrolet,Captiva,Lain-lain,2009,Automatic,105000.0
Suzuki,Ertiga,,2019,Manual,5000.0
Hino,Dutro,Truck,2015,Manual,40000.0
Mazda,MR-90,Lain-lain,1993,Manual,175000.0
Ford,Fiesta,Trend,2013,Automatic Triptonic,130000.0
Lexus,LX,570,2008,Automatic Triptonic,80000.0
Wuling,Cortez,1.8,2018,Automatic Triptonic,15000.0
KIA,Picanto,M/T,2010,Manual,95000.0
Mitsubishi,L300,Pick Up,2016,Manual,55000.0
BMW,Serie 3,318i 2.0,2003,Automatic,130000.0
Chevrolet,Spin,LTZ,2014,Automatic,100000.0
Isuzu,Lain-lain,,2012,Manual,150000.0
Ford,Ecosport,,2014,Automatic,55000.0
Datsun,Go,Panca T Opt,2017,Manual,85000.0
Hyundai,Getz,Lain-lain,2004,Manual,35000.0
Daihatsu,Ayla,Lain-lain,2017,Manual,25000.0
Land Rover,Range Rover Evoque,Dynamic Luxury Si4,2012,Automatic,30000.0
BMW,Lain-lain,Lain-lain,1993,Manual,135000.0
Isuzu,Panther,Lain-lain,2000,Manual,60000.0
Suzuki,Ertiga,GL,2013,Automatic,145000.0
Suzuki,Carry Pick-up,,2019,Manual,5000.0
Ford,Ecosport,Titanium,2014,Automatic,60000.0
Daihatsu,Xenia,R 1.3 Sporty,2012,Manual,110000.0
Daihatsu,Taruna,CL,1999,Manual,205000.0
Daihatsu,Zebra,Minibus 1.3,1994,Manual,55000.0
Mazda,6,2.5,2013,Automatic Triptonic,75000.0
Mercedes-Benz,C-Class,C200,2010,Automatic,65000.0
Mazda,323,1.3,1985,Manual,40000.0
Nissan,X-Trail,Lain-lain,2012,Automatic Triptonic,95000.0
Honda,BR-V,E Prestige,2017,Automatic,45000.0
Honda,CR-V,2.0,2002,Automatic,230000.0
Hyundai,Trajet,GLS,2000,Automatic,45000.0
Hyundai,Santa Fe,CRDi,2012,Automatic Triptonic,135000.0
KIA,Carens I,Lain-lain,2000,Automatic,205000.0
Hyundai,Avega,GL,2008,Manual,65000.0
Toyota,Agya,G,2015,Manual,15000.0
Toyota,Alphard,Lain-lain,2007,Automatic,100000.0
Mercedes-Benz,Tiger,Lain-lain,1985,Manual,185000.0
Toyota,Avanza,G,2015,Manual,30000.0
Mercedes-Benz,Lain-lain,Lain-lain,2009,Automatic,40000.0
Mercedes-Benz,C-Class,C180,1995,Automatic,155000.0
Wuling,Lain-lain,Lain-lain,2019,Automatic,10000.0
Daihatsu,Terios,Extra X,2015,Manual,55000.0
Hyundai,Santa Fe,,2015,Automatic Triptonic,45000.0
Mazda,2,Limited Edition,2012,Manual,65000.0
Hyundai,Grand Avega,GL,2012,Automatic,75000.0
Ford,Fiesta,Trend,2013,Automatic,55000.0
Toyota,Innova,G,2011,Manual,80000.0
Toyota,Vellfire,Z,2010,Automatic,65000.0
Suzuki,Ertiga,GX,2013,Manual,105000.0
Nissan,Livina,X-Gear,2009,Automatic,140000.0
Mazda,2,R,2011,Automatic,55000.0
Chevrolet,Trooper,2.3,1990,Manual,245000.0
Nissan,Evalia,SV,2013,Automatic,155000.0
KIA,Picanto,A/T,2012,Automatic,70000.0
Lain-lain,Lain-lain,,1997,Automatic,5000.0
Hyundai,Atoz,GLS,2002,Manual,180000.0
KIA,Picanto,M/T,2011,Manual,100000.0
Suzuki,Swift,GX,2014,Manual,30000.0
Audi,Audi Q3,2.0 TFSI,2013,Automatic Triptonic,35000.0
Mercedes-Benz,E-Class,E320,1993,Automatic,150000.0
Mazda,CX-5,Touring,2014,Automatic,95000.0
Mercedes-Benz,A-Class,A200,2015,Automatic Triptonic,20000.0
Toyota,Kijang Pick-Up,Lain-lain,2002,Manual,270000.0
Mercedes-Benz,C-Class,C200,2010,Automatic,95000.0
Nissan,Lain-lain,Lain-lain,2014,Manual,115000.0
Jeep,Cherokee,Limited,1998,Automatic,130000.0
KIA,Visto,Lain-lain,2002,Automatic,150000.0
Datsun,120,,1985,Manual,155000.0
Mercedes-Benz,CLS,Lain-lain,2012,Automatic Triptonic,30000.0
Daihatsu,Feroza,Lain-lain,1996,Manual,205000.0
Mitsubishi,Pajero Sport,2.5L Dakar,2014,Automatic,35000.0
Mercedes-Benz,E-Class,Lain-lain,1997,Automatic Triptonic,70000.0
BMW,X5,xDrive35i xLine,2014,Automatic,25000.0
Isuzu,Panther,LV,2001,Manual,160000.0
Proton,Exora,CPS Executive,2009,Manual,15000.0
Honda,City,VTEC,2005,Automatic Triptonic,150000.0
Honda,Freed,S,2010,Automatic,20000.0
Mitsubishi,L300,,2019,Manual,20000.0
Mitsubishi,Xpander,ULTIMATE A/T,2017,Automatic,5000.0
Hyundai,H-1,Elegance,2009,Automatic,115000.0
Datsun,Go+,Panca T Opt,2014,Manual,70000.0
Opel,Blazer,DOHC,1999,Manual,150000.0
Nissan,Grand livina,Lain-lain,2018,Manual,10000.0
Toyota,Calya,G,2016,Manual,60000.0
Mitsubishi,Colt,Lain-lain,2010,Manual,105000.0
Toyota,Avanza,Veloz,2012,Manual,90000.0
BMW,Serie 3,320i Luxury,2013,Automatic,50000.0
Daihatsu,Ayla,X,2016,Automatic,45000.0
Peugeot,206,XR,2001,Automatic,185000.0
Ford,Ecosport,,2015,Automatic,30000.0
Mazda,2,GT,2015,Automatic,75000.0
Tata,Ace,EX2,2015,Manual,60000.0
Toyota,Innova,G,2015,Manual,55000.0
Suzuki,SX4,Cross Over,2011,Automatic,50000.0
Hyundai,Elantra,1.6,1995,Manual,100000.0
Mazda,2,R,2016,Automatic,35000.0
BMW,Serie 3,320i,2008,Automatic,20000.0
Hyundai,Lain-lain,Lain-lain,2008,Automatic,60000.0
Ford,Fiesta,Trend,2011,Automatic,145000.0
Hyundai,Avega,GX,2012,Manual,80000.0
Chevrolet,Spin,LTZ,2014,Automatic Triptonic,80000.0
Mazda,6,2.5,2010,Automatic Triptonic,110000.0
Suzuki,Escudo,Lain-lain,2005,Manual,15000.0
Datsun,Go+,Panca T Opt,2017,Manual,50000.0
Toyota,Yaris,TRD Sportivo,2015,Automatic,40000.0
Suzuki,SX4,Cross Over,2016,Automatic,30000.0
Isuzu,Panther,Pick Up Diesel,2013,Manual,125000.0
Volkswagen,Polo,TSI 1.2,2018,Automatic Triptonic,5000.0
Hyundai,Getz,Lain-lain,2004,Manual,180000.0
BMW,Serie 3,320i Sport,2015,Automatic Triptonic,35000.0
Peugeot,306,ST,1998,Manual,155000.0
Suzuki,APV,GL,2014,Manual,50000.0
Audi,Audi A4,2.0 Sedan,2000,Automatic Triptonic,290000.0
Chevrolet,Captiva,Lain-lain,2013,Automatic Triptonic,115000.0
Mercedes-Benz,C-Class,C230,1997,Manual,105000.0
Toyota,Limo,,2012,Manual,
Ford,Ecosport,Titanium,2014,Automatic Triptonic,45000.0
Mitsubishi,Pajero,Lain-lain,2017,Automatic,40000.0
Mazda,Lain-lain,Lain-lain,2004,Manual,150000.0
Daihatsu,Sirion,D,2017,Automatic,40000.0
Mini Cooper,Mini Cooper,Lain-lain,2015,Automatic Triptonic,15000.0
Datsun,Go+,Panca T Style,2018,Manual,30000.0
Toyota,Avanza,Veloz,2014,Manual,35000.0
Chevrolet,Trax,LTZ,2017,Automatic,20000.0
Honda,Jazz,RS,2017,Automatic Triptonic,35000.0
Nissan,Evalia,XV,2013,Automatic,95000.0
Nissan,Serena,X,2014,Automatic,85000.0
Audi,Audi A4,1.8 TFSI PI,2008,Automatic,60000.0
Suzuki,Ertiga,GL,2014,Automatic,95000.0
Hyundai,H-1,Royale,2014,Automatic,165000.0
Suzuki,Carry,Lain-lain,2003,Manual,50000.0
Nissan,Grand livina,Lain-lain,2011,Manual,150000.0
Land Rover,Range Rover Evoque,Dynamic Luxury Si4,2011,Automatic Triptonic,30000.0
Peugeot,406,2.0,2002,Automatic,135000.0
Mazda,RX-8,Sport,2005,Automatic Triptonic,45000.0
Suzuki,Karimun,GX,2016,Manual,80000.0
Isuzu,New Panther,Lain-lain,2010,Manual,200000.0
Daihatsu,Luxio,X Prestige,2014,Manual,45000.0
Suzuki,Karimun,GX,2005,Manual,85000.0
Isuzu,Lain-lain,,2016,Manual,100000.0
Jeep,Wrangler ,Sport Unlimited,2013,Automatic,40000.0
Toyota,Innova,E,2012,Automatic,35000.0
Land Rover,Range Rover Evoque,Dynamic Luxury Si4,2015,Automatic,15000.0
Daihatsu,Xenia,,2013,Manual,105000.0
Jeep,Rubicon,Lain-lain,2013,Automatic,20000.0
Isuzu,Panther,2.3,1995,Manual,40000.0
Daihatsu,Zebra,1.3,1994,Manual,10000.0
Chevrolet,Aveo,LT,2004,Automatic,205000.0
Nissan,Grand livina,Lain-lain,2013,Manual,105000.0
Honda,Brio,E,2013,Automatic,80000.0
Mercedes-Benz,C-Class,C240,2003,Automatic Triptonic,105000.0
Mazda,2,GT,2016,Automatic Triptonic,50000.0
Nissan,Grand livina,Lain-lain,2014,Automatic,80000.0
Daihatsu,Ayla,X,2016,Automatic,45000.0
Nissan,Terrano,2.4 Spirit S1,2004,Manual,165000.0
Suzuki,Ertiga,GX,2013,Manual,55000.0
Nissan,Grand livina,Lain-lain,2013,Manual,70000.0
Isuzu,New Panther,Lain-lain,2014,Automatic,85000.0
Chevrolet,Captiva,Lain-lain,2014,Automatic,85000.0
Klasik dan Antik,Klasik dan Antik,Lain-lain,1985,Manual,5000.0
Chevrolet,Blazer,Lain-lain,1997,Manual,275000.0
Hyundai,H-1,Elegance,2008,Automatic,145000.0
Chrysler,Cherokee,Lain-lain,1994,Automatic,45000.0
Datsun,620,Lain-lain,1985,Manual,
Mazda,CX-5,Touring,2013,Automatic,65000.0
KIA,Pregio,Lain-lain,2004,Manual,35000.0
Suzuki,Wagon R,Lain-lain,2016,Automatic,30000.0
Honda,City,i-DSI,2005,Automatic,155000.0
Ford,Fiesta,Style,2013,Automatic,115000.0
KIA,Pride,1.4,2011,Manual,80000.0
Chery,Tiggo,2.0,2008,Manual,150000.0
Isuzu,Panther,2.2,1996,Manual,290000.0
Honda,Brio,A,2016,Manual,35000.0
Daihatsu,Terios,R,2018,Automatic,15000.0
