Merek,Model,Varian,Tahun,Transmisi,jarak_tempuh_max
Mazda,Biante,2.0,2012,Automatic,75000.0
Nissan,Teana,250 XV,2010,Automatic,75000.0
KIA,Picanto,A/T Option,2008,Automatic,115000.0
Nissan,Grand livina,Lain-lain,2010,Automatic,85000.0
Mazda,Biante,2.0,2013,Automatic,95000.0
Chevrolet,Spin,LT,2014,Manual,105000.0
Chevrolet,Orlando,LT,2012,Automatic Triptonic,100000.0
Daihatsu,Xenia,R 1.3 Sporty,2014,Automatic,70000.0
Mercedes-Benz,E-Class,E320,1996,Automatic,110000.0
Chevrolet,Captiva,Lain-lain,2011,Automatic Triptonic,35000.0
Ford,Lain-lain,Lain-lain,1985,Automatic,
BMW,Serie 3,323i E46 2.5,2000,Automatic Triptonic,105000.0
Nissan,Terrano,Kingsroad,2004,Manual,185000.0
Mazda,2,Lain-lain,2014,Manual,45000.0
Honda,Jazz,S,2017,Automatic,15000.0
Jeep,Rubicon,Lain-lain,2011,Automatic Triptonic,10000.0
Nissan,Grand livina,Lain-lain,2012,Automatic,70000.0
Mitsubishi,Pajero Sport,Exceed,2013,Automatic,70000.0
Hyundai,Accent,GLS,2001,Automatic,180000.0
Ford,Fiesta,Sport,2011,Automatic Triptonic,80000.0
Mercedes-Benz,E-Class,E320,1994,Automatic,140000.0
Mitsubishi,Triton,,2012,Manual,195000.0
KIA,Rio,Hatchback,2012,Manual,65000.0
Isuzu,Panther,2.3,1994,Manual,85000.0
BMW,Serie 3,325i,2006,Automatic,105000.0
Datsun,120,Lain-lain,1985,Manual,10000.0
Mazda,Astina,Lain-lain,1991,Manual,35000.0
Hyundai,Accent,GLS,2001,Automatic,150000.0
Ford,Ranger,Base,2012,Manual,150000.0
BMW,Serie 3,320i Sport,2018,Automatic,15000.0
Nissan,Serena,HWS,2013,Automatic,85000.0
Suzuki,APV,SGX Arena,2011,Manual,45000.0
Volvo,V70,Lain-lain,1997,Automatic,75000.0
Peugeot,306,ST,1996,Manual,105000.0
Daihatsu,Xenia,Li Deluxe,2010,Manual,145000.0
Daihatsu,Terios,TX,2011,Manual,75000.0
Mitsubishi,Xpander,EXCEED M/T,2018,Manual,10000.0
Chevrolet,Lain-lain,Lain-lain,1985,Manual,45000.0
Suzuki,Ertiga,,2019,Manual,5000.0
Ford,Fiesta,Trend,2013,Automatic,15000.0
Ford,Everest,XLT,2008,Manual,175000.0
Mazda,Vantrend,Lain-lain,1994,Manual,60000.0
Hino,Lain-lain,Lain-lain,2013,Manual,205000.0
Toyota,Corolla,Lain-lain,1993,Manual,205000.0
Ford,Fiesta,Sport+,2013,Automatic,5000.0
Honda,Jazz,RS CVT,2016,Automatic Triptonic,55000.0
Mitsubishi,Pajero Sport,Dakar,2018,Automatic Triptonic,20000.0
Mitsubishi,Xpander,ULTIMATE A/T,2018,Automatic,15000.0
BMW,Serie 3,320i M Sport,2016,Automatic Triptonic,20000.0
Ford,Fiesta,Trend,2013,Automatic Triptonic,35000.0
Honda,Brio,Satya E,2017,Automatic,25000.0
Peugeot,405,2.0,1994,Manual,180000.0
Datsun,Go+,Panca T,2014,Manual,45000.0
Volvo,XC90,2.5,2008,Automatic,80000.0
Mazda,2,R,2015,Automatic,55000.0
Isuzu,Elf Minibus,2.8 Minibus Diesel,2016,Manual,25000.0
Chery,New QQ,1.0 MT,2009,Manual,95000.0
Hyundai,Avega,GL,2007,Automatic,155000.0
Isuzu,Panther,Lain-lain,1995,Manual,140000.0
Suzuki,Escudo,JLX,1994,Manual,10000.0
Hyundai,Cakra,Lain-lain,1997,Automatic,200000.0
Nissan,Serena,HWS,2007,Automatic,140000.0
Audi,Audi Q5,2.0 TFSI,2011,Automatic Triptonic,60000.0
Honda,Mobilio,E Prestige,2015,Automatic,55000.0
Wuling,Confero S,S 1.5L LUX,2017,Manual,30000.0
Suzuki,Escudo,JLX,1995,Manual,205000.0
Nissan,Grand livina,Lain-lain,2011,Automatic,195000.0
Mitsubishi,Colt,Box 3.3,2010,Manual,25000.0
Daihatsu,Luxio,X,2011,Manual,105000.0
Mitsubishi,Pajero Sport,Dakar 2.4,2016,Automatic Triptonic,35000.0
BMW,Serie 5,520i,2013,Automatic,55000.0
Toyota,Agya,TRD Sportivo,2015,Automatic,40000.0
Nissan,Grand livina,,2011,Automatic,140000.0
Hyundai,Verna,Lain-lain,2003,Manual,165000.0
Honda,Mobilio,S,2017,Manual,85000.0
Mazda,CX-5,Grand Touring,2013,Automatic Triptonic,80000.0
Toyota,Agya,G,2016,Manual,15000.0
Suzuki,Carry Pick-up,Lain-lain,2018,Manual,5000.0
KIA,Carens II,Lain-lain,2006,Automatic,210000.0
Honda,Mobilio,E,2014,Automatic,85000.0
Ford,Ecosport,Titanium,2014,Automatic,50000.0
Daihatsu,Terios,,2014,Automatic,110000.0
BMW,Serie 3,320i Luxury,2018,Automatic,10000.0
Honda,CR-V,2.0,2005,Manual,45000.0
Honda,Brio,Satya E,2014,Manual,50000.0
Honda,CR-V,2.4,2004,Manual,105000.0
Hyundai,Lain-lain,Lain-lain,1996,Manual,40000.0
Honda,CR-V,2.4 Prestige,2012,Automatic,50000.0
KIA,Picanto,M/T,2004,Manual,145000.0
Jeep,CJ7,Lain-lain,1985,Manual,155000.0
Honda,Brio,Satya E,2017,Manual,45000.0
Isuzu,Colt 77 PS,Lain-lain,2018,Manual,10000.0
Mazda,CX-5,Grand Touring,2013,Automatic Triptonic,95000.0
Mercedes-Benz,Lain-lain,Lain-lain,1989,Automatic,95000.0
Mercedes-Benz,A-Class,A140,2002,Manual,55000.0
Daihatsu,Xenia,Li,2011,Manual,225000.0
Daihatsu,Xenia,M 1.0 Sporty,2012,Manual,25000.0
Daihatsu,Terios,Adventure R,2016,Automatic,65000.0
Mitsubishi,Pajero Sport,Dakar 2.4,2017,Automatic,35000.0
Ford,Fiesta,Trend,2014,Automatic,20000.0
Mitsubishi,Pajero Sport,Dakar,2014,Automatic,35000.0
Honda,CR-V,Lain-lain,2017,Automatic,50000.0
Suzuki,Splash,,2011,Manual,80000.0
Isuzu,Panther,Touring,2005,Automatic,205000.0
Hyundai,H-1,,2011,Automatic,105000.0
Ford,Fiesta,Sport,2011,Automatic,150000.0
KIA,Carens II,Lain-lain,2005,Manual,25000.0
Toyota,Kijang,LGX,2002,Manual,100000.0
Toyota,Corolla,1.3,1985,Manual,5000.0
Toyota,Fortuner,G Luxury,2010,Automatic,45000.0
Isuzu,Elf Minibus,Lain-lain,2001,Manual,195000.0
Land Rover,Range Rover Evoque,Dynamic Luxury Si4,2012,Automatic Triptonic,40000.0
Ford,Fiesta,EcoBoost S,2012,Automatic,65000.0
Mazda,Biante,,2016,Automatic Triptonic,60000.0
Mazda,2,R,2010,Automatic,100000.0
Datsun,Go+,Panca T,2017,Manual,45000.0
Holden,Lain-lain,Lain-lain,1985,Automatic,75000.0
Jeep,Grand Cherokee,Overland,2011,Automatic,60000.0
Volvo,S90,3.0,2000,Automatic,115000.0
Honda,Lain-lain,Lain-lain,1994,Automatic,30000.0
KIA,Picanto,M/T,2008,Manual,230000.0
Mitsubishi,Mirage,GLX,2013,Manual,100000.0
Lexus,RX,200T AL20,2016,Automatic Triptonic,40000.0
Ford,Everest,LTD,2008,Manual,80000.0
Nissan,Grand livina,Lain-lain,2014,Manual,110000.0
Ford,Ecosport,Titanium,2014,Automatic,95000.0
Hyundai,Santa Fe,,2016,Automatic Triptonic,30000.0
Nissan,Grand livina,Lain-lain,2009,Automatic,80000.0
Proton,Exora,CFE Prime,2014,Automatic,65000.0
Audi,Audi A8,Lain-lain,2004,Automatic,85000.0
Mercedes-Benz,E-Class,E240,2003,Automatic,105000.0
Toyota,Agya,G,2016,Manual,60000.0
Mercedes-Benz,E-Class,E320,1996,Automatic,125000.0
Nissan,Grand livina,Lain-lain,2010,Automatic,75000.0
Mazda,CX-5,Touring,2015,Automatic,40000.0
BMW,X1,sDrive20d,2012,Automatic Triptonic,95000.0
Chevrolet,Spin,LTZ,2014,Automatic,120000.0
KIA,Picanto,SE,2011,Manual,85000.0
Klasik dan Antik,Klasik dan Antik,Lain-lain,1985,Manual,210000.0
Honda,Freed,E,2016,Automatic,35000.0
Suzuki,SX4,Lain-lain,2009,Automatic,130000.0
Datsun,Go+,Panca T Opt,2014,Manual,35000.0
Daihatsu,Gran max Pick-up,Lain-lain,2018,Manual,25000.0
Datsun,Go+,Panca T Ultimate,2017,Manual,10000.0
Lain-lain,Lain-lain,,2002,Manual,25000.0
BMW,X1,sDrive18i,2010,Automatic,55000.0
Ford,Ecosport,Titanium,2014,Automatic,100000.0
Peugeot,406,2.0,1997,Automatic,255000.0
Mercedes-Benz,C-Class,C240,2005,Automatic Triptonic,65000.0
Mercedes-Benz,GLA-Class,GLA200,2015,Automatic Triptonic,35000.0
Daihatsu,Sigra,1.2 R,2018,Automatic,25000.0
Mitsubishi,Strada Triton,GLS,2012,Manual,85000.0
Daihatsu,Sigra,,2019,Manual,5000.0
Holden,Gemini,,1985,Manual,10000.0
Daihatsu,Espass,Lain-lain,1996,Manual,135000.0
Ford,Ranger,XLT,2011,Manual,15000.0
Suzuki,Splash,GL,2011,Manual,65000.0
Mazda,2,R,2015,Automatic,45000.0
Chevrolet,Spark,LT,2017,Automatic,35000.0
Chevrolet,Captiva,Lain-lain,2014,Automatic,75000.0
Ford,Fiesta,Trend,2011,Manual,95000.0
Suzuki,Carry Pick-up,,2019,Manual,5000.0
Mitsubishi,Lancer,Lain-lain,1987,Manual,15000.0
KIA,Rio,Hatchback,2013,Manual,85000.0
BMW,X1,sDrive18i xLine,2016,Automatic Triptonic,15000.0
Mazda,RX-8,Sport,2004,Manual,40000.0
BMW,Serie 3,330i,2003,Automatic,85000.0
Hyundai,New Tucson,,2017,Automatic Triptonic,45000.0
Wuling,Confero S,S 1.5C LUX,2018,Manual,15000.0
Peugeot,406,Limited,2004,Automatic,155000.0
Mercedes-Benz,GLA-Class,GLA200,2015,Automatic,10000.0
Toyota,Innova,V Diesel,2016,Automatic,55000.0
Mitsubishi,Pajero Sport,Dakar 2.4,2014,Automatic Triptonic,85000.0
Mazda,Biante,2.0 SKYACTIV,2014,Automatic Triptonic,55000.0
Chevrolet,Captiva,Lain-lain,2011,Automatic,130000.0
Datsun,Go,Panca T,2017,Manual,75000.0
Audi,Audi A4,Lain-lain,1998,Automatic,80000.0
Nissan,Livina,Lain-lain,2010,Manual,145000.0
Chevrolet,Captiva,,2010,Automatic Triptonic,125000.0
Isuzu,Panther,LM,2006,Manual,
Datsun,Go,Panca T,2016,Manual,65000.0
Honda,CR-V,2.4 i-VTEC,2010,Automatic,150000.0
Daihatsu,Xenia,Li,2004,Manual,170000.0
Toyota,Avanza,G,2013,Automatic,65000.0
Mazda,2,R,2012,Automatic,55000.0
Mazda,2,GT,2014,Automatic,60000.0
Toyota,Starlet,Lain-lain,1990,Manual,150000.0
Isuzu,New Panther,Lain-lain,2014,Manual,95000.0
Chevrolet,Optra,Lain-lain,2010,Automatic,100000.0
Hyundai,Excel,1.4,2013,Manual,95000.0
